token_id,background,base,laces,subs
1,Changingroom,Gold,Red,Purple
2,Street,Darkblue,White,White
3,Goldenhour,Purple,Yellow,Red
4,Goldenhour,Red,White-purple,White
5,Street,Gold,Diamond,Blue
6,Street,Darkblue,Yellow,Red
7,Changingroom,Green,White,Green
8,Tunnel,Gold,Purple,Black
9,Changingroom,Red,Blue,Black
10,Changingroom,Blue,Red,Blue
11,Changingroom,Darkblue,Red,White
12,Goldenhour,Gold,White-pink,Green
13,Stadium,Blue2,Blue,Purple
14,Stadium,Darkblue,Blue,White
15,Street,Blue2,Gold,Purple
16,Changingroom,Red,White-purple,Green
17,Stadium,Green,Red,Green
18,Goldenhour,Darkblue,White-pink,Blue
19,Goldenhour,Blue2,White,Red
20,Goldenhour,Blue2,Yellow,Green
21,Goldenhour,Blue2,White-blue,White
22,Street,Darkgreen,Pink,Green
23,Street,Blue,Green,Red
24,Tunnel,Darkblue,Yellow,Red
25,Tunnel,Red,White-blue,Purple
26,Stadium,Darkgreen,Purple,Green
27,Goldenhour,Blue,White-pink,Purple
28,Stadium,Darkgreen,White,Diamond
29,Tunnel,Gold,Green,White
30,Stadium,Pink,White,White
31,Ancient,Darkgreen,White-purple,Blue
32,Goldenhour,Green,Red,White
33,Goldenhour,Darkblue,Blue,Blue
34,Stadium,Blue,Purple,Purple
35,Ancient,Blue2,White-purple,Green
36,Street,Pink,Diamond,Purple
37,Changingroom,Green,White-red,Black
38,Tunnel,Pink,White-pink,White
39,Ancient,Red,Yellow,Blue
40,Tunnel,Blue2,Blue,Red
41,Changingroom,Blue2,Yellow,Purple
42,Street,Darkblue,Purple,Blue
43,Changingroom,Green,Green,Green
44,Street,Pink,White-red,Green
45,Goldenhour,Blue,Purple,Red
46,Changingroom,Purple,Purple,Green
47,Goldenhour,Pink,White-pink,Purple
48,Tunnel,Green,Pink,Green
49,Changingroom,Darkblue,Purple,Black
50,Goldenhour,Blue2,Green,Purple
51,Goldenhour,Blue,White-purple,Black
52,Changingroom,Purple,White,Blue
53,Goldenhour,Red,Red,Black
54,Goldenhour,Green,White-pink,Red
55,Stadium,Pink,White,Red
56,Ancient,Green,Diamond,Diamond
57,Ancient,Green,Pink,Diamond
58,Changingroom,Darkgreen,Blue,Blue
59,Tunnel,Pink,Red,White
60,Stadium,Red,Yellow,Red
61,Stadium,Purple,Gold,Purple
